Over,Batter Runs,Cumulative Runs,Extra_Runs,Total_Runs,Bowler_ID,Striker_ID,Venue_ID,Team_ID
8.3,0,67,0,0,48,145,0,2
8.4,1,68,0,1,48,239,0,2
8.5,1,69,0,1,48,64,0,2
8.6,1,70,0,1,48,239,0,2
9.1,0,70,0,0,177,239,0,2
9.2,1,71,0,1,177,239,0,2
9.3,0,71,0,0,177,64,0,2
9.4,0,71,0,0,177,64,0,2
9.5,0,71,0,0,177,64,0,2
9.6,2,73,0,2,177,64,0,2
10.1,1,74,0,1,48,239,0,2
10.2,1,75,0,1,48,64,0,2
10.3,2,77,0,2,48,239,0,2
10.4,2,79,0,2,48,239,0,2
10.5,0,79,0,0,48,239,0,2
10.6,0,79,0,0,48,239,0,2
11.1,0,79,0,0,177,64,0,2
11.2,0,79,0,0,177,10,0,2
11.3,0,79,0,0,177,10,0,2
11.4,0,79,0,0,177,10,0,2
11.5,0,79,0,0,177,20,0,2
11.6,1,80,0,1,177,20,0,2
12.1,0,80,0,0,240,20,0,2
12.2,0,81,1,1,240,20,0,2
12.3,0,81,0,0,240,20,0,2
12.4,1,82,0,1,240,20,0,2
12.5,1,83,0,1,240,239,0,2
12.6,1,84,0,1,240,20,0,2
12.7,6,90,0,6,240,239,0,2
13.1,0,90,0,0,48,20,0,2
13.2,1,91,0,1,48,20,0,2
13.3,1,92,0,1,48,239,0,2
13.4,0,92,0,0,48,20,0,2
13.5,0,92,0,0,48,225,0,2
13.6,1,93,0,1,48,225,0,2
14.1,0,93,0,0,177,225,0,2
14.2,0,93,0,0,177,225,0,2
14.3,0,93,0,0,177,225,0,2
14.4,1,94,0,1,177,225,0,2
14.5,4,98,0,4,177,239,0,2
14.6,4,102,0,4,177,239,0,2
15.1,1,103,0,1,48,225,0,2
15.2,0,103,0,0,48,239,0,2
15.3,4,107,0,4,48,239,0,2
15.4,1,108,0,1,48,239,0,2
15.5,1,109,0,1,48,225,0,2
15.6,4,113,0,4,48,239,0,2
16.1,1,114,0,1,236,225,0,2
16.2,6,120,0,6,236,239,0,2
16.3,0,120,0,0,236,239,0,2
16.4,1,121,0,1,236,239,0,2
16.5,1,122,0,1,236,225,0,2
16.6,1,123,0,1,236,239,0,2
17.1,0,123,0,0,253,239,0,2
17.2,1,124,0,1,253,239,0,2
17.3,0,124,0,0,253,225,0,2
17.4,0,124,0,0,253,225,0,2
17.5,0,124,0,0,253,11,0,2
17.6,0,124,0,0,253,11,0,2
18.1,4,128,0,4,236,239,0,2
18.2,4,132,0,4,236,239,0,2
18.3,0,132,0,0,236,239,0,2
18.4,0,132,0,0,236,239,0,2
18.5,0,133,1,1,236,239,0,2
18.6,1,134,0,1,236,239,0,2
18.7,0,134,0,0,236,11,0,2
19.1,0,134,0,0,253,239,0,2
19.2,4,138,0,4,253,239,0,2
19.3,0,138,0,0,253,239,0,2
19.4,0,138,0,0,253,239,0,2
19.5,0,138,0,0,253,239,0,2
19.6,1,139,0,1,253,239,0,2
0.1,1,1,0,1,11,22,0,1
0.2,0,1,0,0,11,48,0,1
0.3,6,7,0,6,11,48,0,1
0.4,4,11,0,4,11,48,0,1
0.5,2,13,0,2,11,48,0,1
0.6,0,13,0,0,11,48,0,1
